rank,title,artist,top genre,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
1,Dance Monkey,Tones and I,australian pop,98,59,82,6,15,51,209,69,9
2,ROXANNE,Arizona Zervas,pop rap,117,60,62,6,46,46,164,5,15
3,Memories,Maroon 5,pop,91,32,76,7,8,57,189,84,5
4,Circles,Post Malone,dfw rap,120,76,70,3,9,55,215,19,4
5,All I Want for Christmas Is You,Mariah Carey,dance pop,150,63,34,7,7,35,241,16,4
6,everything i wanted,Billie Eilish,electropop,120,23,70,14,11,24,245,90,10
7,Falling,Trevor Daniel,alternative r&b,127,43,78,9,9,24,159,12,4
8,RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,105,72,72,7,24,67,222,3,7
9,Don't Start Now,Dua Lipa,dance pop,124,79,79,5,10,68,183,1,8
10,Tusa,KAROL G,latin,101,72,80,3,6,57,201,30,30
11,Blinding Lights,The Weeknd,canadian contemporary r&b,171,80,51,4,9,35,202,0,6
12,Someone You Loved,Lewis Capaldi,pop,110,41,50,6,11,45,182,75,3
13,Santa Tell Me,Ariana Grande,dance pop,192,62,53,7,29,59,204,5,12
14,Rockin' Around The Christmas Tree,Brenda Lee,adult standards,67,47,59,9,51,90,126,61,5
15,Jingle Bell Rock,Bobby Helms,adult standards,120,42,75,8,7,81,131,64,4
16,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,202,60,24,8,12,78,152,77,4
17,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,147,61,33,11,77,40,214,32,3
18,Mistletoe,Justin Bieber,canadian pop,162,56,66,9,8,85,183,50,5
19,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,142,26,65,13,36,84,155,90,6
20,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,95,51,77,9,7,77,228,32,3
21,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,79,21,32,15,14,21,192,92,3
22,White Christmas,Bing Crosby,adult standards,131,16,32,16,34,25,177,67,4
23,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,134,24,45,14,18,70,117,91,4
24,Have Yourself A Merry Little Christmas,Sam Smith,pop,75,18,44,9,32,34,171,96,4
25,Seï¿½ï¿½,Shawn Mendes,canadian pop,117,55,76,6,8,75,191,4,3
26,Underneath the Tree,Kelly Clarkson,dance pop,160,81,51,5,21,69,230,0,5
27,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,113,28,73,12,12,72,156,76,6
28,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,129,84,67,4,11,84,126,61,3
29,Christmas (Baby Please Come Home),Mariah Carey,dance pop,127,78,57,7,11,70,153,2,3
30,Do They Know It's Christmas? - 1984 Version,Band Aid,NA,115,64,60,7,10,35,223,16,4
31,Blue Christmas,Elvis Presley,adult standards,95,27,47,17,14,58,129,90,4
32,Run Rudolph Run - Single Version,Chuck Berry,blues rock,152,72,68,11,8,96,166,81,9
33,Step Into Christmas,Elton John,glam rock,140,93,53,6,31,82,272,10,4
34,Christmas Lights,Coldplay,permanent wave,131,42,31,9,8,24,242,13,3
35,Santa Baby,Ariana Grande,dance pop,96,78,75,6,28,77,171,5,14
36,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,119,65,32,6,24,47,272,50,3
37,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,140,67,36,8,73,41,268,36,5
38,Last Christmas,Wham!,new wave pop,108,48,74,12,36,95,263,19,3
39,Feliz Navidad,Josï¿½ï¿½ï¿½ F,latin pop,149,86,49,7,35,96,182,53,4
40,Santa Claus Is Coming To Town,The Jackson 5,adult standards,147,76,69,5,18,96,144,42,3
41,It's Beginning to Look a Lot like Christmas,Michael Bublï,adult standards,93,22,33,11,34,36,207,88,3
42,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,129,71,58,8,82,61,181,26,5
43,My Only Wish (This Year),Britney Spears,dance pop,147,73,67,7,20,68,255,23,3
44,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,140,37,67,13,10,86,133,59,3
45,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,180,58,51,11,18,87,242,36,4
46,Holly Jolly Christmas,Michael Bublï,adult standards,151,43,61,9,9,74,122,86,4
47,Christmas (Baby Please Come Home),Darlene Love,adult standards,126,76,34,7,8,36,166,39,5
48,Sleigh Ride,The Ronettes,adult standards,92,77,53,7,32,85,181,40,3
49,Santa Claus Is Coming to Town,Michael Bublï,adult standards,123,40,59,7,4,42,172,79,5
50,Merry Christmas Everyone,Shakin' Stevens,new wave pop,102,71,76,10,8,96,224,16,3
